OPTION CODE,LAND USE CODE,DESCRIPTION,,
AB11,LG19,MIXED CROP - LEGUMINOUS ONLY 5,,
AB11,LG20,FIELD BEANS - WINTER,,
AB11,LG21,PEAS - WINTER,,
AB11,NF01,SCATTERED ROCK,,
AB11,NF02,SCATTERED BRACKEN,,
AB11,NF03,SCATTERED SCRUB,,
AB11,NF04,SCATTERED TREES,,
AB11,NF05,SCATTERED WATER FEATURES,,
AB11,NF06,SCATTERED NATURAL FEATURES,,
AB11,NF08,SCATTERED FEATURES - MIXED,,
AB11,SA01,SERVICE AREA - UNCROPPED,,
AB11,TG01,TEMPORARY GRASS,,
AB13,ABS01,TEMPORARY GRASS BUFFER STRIP ,,
AB13,ABS02,SOWN MIXED COVER BUFFER STRIP ,,
AB13,ABS03,FALLOW BUFFER STRIP,,
AB13,AC01,BARLEY - SPRING,,
AB13,AC02,BASIL ,,
AB13,AC03,BEET ,,
AB13,AC04,BORAGE ,,
AB13,AC05,BUCKWHEAT ,,
AB13,AC06,CANARY SEED ,,
AB13,AC07,CARROT ,,
AB13,AC08,CELERY ,,
AB13,AC09,CHICORY ,,
AB13,AC10,DAFFODIL ,,
AB13,AC100,RYEGRASS (ITALIAN) - GROWN FOR SEED PRODUCTION,,
AB13,AC11,DILL ,,
AB13,AC12,EVENING PRIMROSE ,,
AB13,AC13,FENNEL ,,
AB13,AC14,HEMP ,,
AB13,AC15,LETTUCE ,,
AB13,AC16,LINSEED - SPRING,,
AB13,AC17,MAIZE ,,
AB13,AC18,MILLET ,,
AB13,AC19,OATS - SPRING,,
AB13,AC20,ONIONS ,,
AB13,AC200,TEMPORARY ARABLE LAND USE CODE,,
AB13,AC21,OREGANO ,,
AB13,AC22,PARSLEY ,,
AB13,AC23,PARSNIPS ,,
AB13,AC24,RYE - SPRING,,
AB13,AC25,SAGE ,,
AB13,AC26,SPINACH ,,
AB13,AC27,STRAWBERRY ,,
AB13,AC28,SWEET POTATO ,,
AB13,AC29,THYME ,,
AB13,AC30,TRITICALE - SPRING,,
AB13,AC31,TULIP ,,
AB13,AC32,WHEAT - SPRING,,
AB13,AC33,YAM ,,
AB13,AC34,CABBAGE - SPRING,,
AB13,AC35,TURNIP ,,
AB13,AC36,OILSEED - SPRING,,
AB13,AC37,BROWN MUSTARD ,,
AB13,AC38,MUSTARD ,,
AB13,AC39,CRAMBE ,,
AB13,AC40,ROCKET ,,
AB13,AC41,RADISH ,,
AB13,AC42,HORSERADISH ,,
AB13,AC43,TOBACCO ,,
AB13,AC44,POTATO ,,
AB13,AC45,TOMATO ,,
AB13,AC46,AUBERGINE ,,
AB13,AC47,PEPPER ,,
AB13,AC48,CHILLI ,,
AB13,AC49,TREE CHILLI ,,
AB13,AC50,SQUASH ,,
AB13,AC51,JAPANESE PIE SQUASH ,,
AB13,AC52,SIAM PUMPKIN ,,
AB13,AC53,BANANA SQUASH ,,
AB13,AC54,BUTTERNUT SQUASH ,,
AB13,AC55,WATER MELON ,,
AB13,AC56,CUCUMBER ,,
AB13,AC57,MELON ,,
AB13,AC58,MIXED CROP - GROUP 1,,
AB13,AC59,MIXED CROP - GROUP 2,,
AB13,AC60,MIXED CROP - GROUP 3,,
AB13,AC61,MIXED CROP - GROUP 4,,
AB13,AC62,MIXED CROP - GROUP 5,,
AB13,AC63,BARLEY - WINTER,,
AB13,AC64,LINSEED - WINTER,,
AB13,AC65,OATS - WINTER,,
AB13,AC66,WHEAT - WINTER,,
AB13,AC67,OILSEED - WINTER,,
AB13,AC68,RYE - WINTER,,
AB13,AC69,TRITICALE - WINTER,,
AB13,AC70,CABBAGE - WINTER,,
AB13,AC71,CORIANDER,,
AB13,AC72,CORN GROMWELL,,
AB13,AC73,CAMELINA,,
AB13,AC74,PHACELIA,,
AB13,AC75,OCA,,
AB13,AC76,GERMAN CHAMOMILE,,
AB13,AC77,CORN CHAMOMILE,,
AB13,AC78,CORN COCKLE,,
AB13,AC79,CORN FLOWER,,
AB13,AC80,CORN MARIGOLD,,
AB13,AC81,POPPY,,
AB13,AC82,FIELD FOR-GET-ME-NOT,,
AB13,AC83,FOX-GLOVE,,
AB13,AC84,HAY RATTLE,,
AB13,AC85,HEDGE BEDSTRAW,,
AB13,AC86,TEASEL,,
AB13,AC87,QUINOA,,
AB13,AC88,SUNFLOWER,,
